Disease,Future Risks,Disease Risk Score,Symptoms Severity Score
AIDS,Opportunistic infections,9,9
ALS (Amyotrophic Lateral Sclerosis),Progressive muscle weakness,9,4
Acne,Severe scarring,5,5
Achalasia ,Esophageal damage,5,10
Acute Bronchitis,Chronic respiratory issues,5,5
Addison's Disease,Adrenal crisis,5,5
Alcoholic hepatitis,Liver cirrhosis,5,10
Allergy,Anaphylaxis,8,5
Alzheimer's Disease,Severe dementia,5,10
Amebiasis,Severe dehydration,6,5
Anemia,Chronic fatigue,9,6
Aneurysm,Rupture leading to stroke,9,9
Anthrax,Severe respiratory failure,10,5
Aplastic Anemia,Bone marrow failure,5,5
Appendicitis,Rupture leading to peritonitis,9,9
Arthritis,Severe joint damage,5,5
Aspergillosis,Respiratory distress,5,5
Asthma,Respiratory failure,10,9
Arrhythmia,Cardiac arrest,8,6
Avian Influenza,Severe pneumonia,10,5
Babesiosis,Severe anemia,9,5
Bacterial Meningitis,Seizures,9,9
Bartonellosis,Endocarditis,8,10
Barrett Esophagus,Esophageal cancer,8,10
Bell's Palsy,Permanent facial weakness,8,10
Benign Paroxysmal Positional Vertigo (BPPV),Falls and injuries,8,10
Bipolar Disorder,Severe depression,8,5
Bladder Cancer,Metastasis,5,5
Blastomycosis,Lung fibrosis,5,3
Brain Tumor,Neurological deficits,9,9
Breast Cancer,Metastasis,8,10
Bronchial Asthma,Respiratory failure,8,10
Bronchiectasis,Chronic lung infections,8,5
Bronchitis,Chronic obstructive pulmonary disease (COPD),8,10
Brucellosis,Chronic fatigue syndrome,5,5
COVID-19,Long COVID complications,8,10
Campylobacteriosis,Severe dehydration,5,5
Cataracts,Blindness,8,10
Celiac Disease,Malabsorption,5,5
Cervical Cancer,Metastasis,5,5
Cervical spondylosis,Spinal cord compression,7,10
Chikungunya,Chronic joint pain,7,10
Chicken pox,Shingles later in life,7,10
Chlamydia,Infertility,5,5
Cholera,Severe dehydration,9,5
Chronic Fatigue Syndrome,Long-term disability,5,5
Chronic Kidney Disease,Cardiovascular disease,9,5
Chronic Sinusitis,Meningitis,7,10
Chronic cholestasis,Liver failure,7,10
Coccidioidomycosis,Chronic lung disease,7,10
Colon Cancer,Metastasis,5,5
Common Cold,Secondary infections,5,5
Crohn's Disease,Bowel obstruction,5,6
Cryptococcosis,Meningitis,7,10
Cushing's Syndrome,Diabetes,7,10
Cystic Fibrosis,Severe lung infections,9,5
Deep Vein Thrombosis (DVT),Pulmonary embolism,7,10
Dengue Fever,Severe bleeding,7,10
Dermatitis,Skin infections,6,5
Diabetes,Kidney failure,7,10
Dimorphic hemmorhoids(piles),Severe rectal bleeding,7,10
Diphtheria,Respiratory failure,7,5
Diverticulitis,Intestinal rupture,7,5
Drug Reaction,Anaphylaxis,7,10
E. Coli Infection,Kidney failure,7,10
Ebola,Multi-organ failure,8,9
Eczema,Severe skin infections,6,5
Ehlers-Danlos Syndrome,Aneurysm,8,10
Endometriosis,Chronic pelvic pain,5,5
Epilepsy,Severe seizures,10,9
Erectile Dysfunction,Cardiovascular disease,8,10
Esophageal Cancer,Metastasis,5,5
Fatty Liver Disease,Liver cirrhosis,5,10
Fibromyalgia,Chronic pain,5,5
Filariasis,Lymphedema,7,10
Fungal Infection,Systemic infections,7,10
GERD,Esophageal stricture,7,10
Gallbladder Disease,Gallbladder cancer,7,10
Gallstones,Gallbladder infections,5,6
Gastric Cancer,Metastasis,7,10
Gastritis,Stomach ulcers,5,5
Gastroenteritis,Severe dehydration,5,5
Giardiasis,Malabsorption,5,5
Glaucoma,Progressive vision loss,8,5
Gonorrhea,Infertility,5,5
Gout,Joint damage,5,5
Graves' Disease,Heart complications,5,5
Guillain Barre Syndrome,Respiratory failure,9,10
HIV/AIDS,Opportunistic infections,5,10
Hantavirus,Acute respiratory distress syndrome (ARDS),5,10
Heart attack,Heart failure,9,10
Hemochromatosis,Liver cirrhosis,7,6
Hemophilia,Uncontrolled bleeding,9,9
Hendra Virus,Encephalitis,7,10
Hepatitis A,Liver inflammation,5,6
Hepatitis B,Liver cirrhosis,9,5
Hepatitis C,Liver fibrosis,3,5
Hepatitis D,Liver cirrhosis,5,10
Hepatitis E,Acute liver failure,6,10
Herpes,Neurological complications,6,10
Histoplasmosis,Chronic lung disease,7,10
Hodgkin's Lymphoma,Weakened immune system,5,5
Hookworm Infection,Severe anemia,5,5
Huntington's Disease,Progressive cognitive and motor decline,1,5
Hyperglycemia,Diabetic ketoacidosis,5,5
Hypertension,Stroke,9,9
Hyperthyroidism,Heart complications,5,5
Impetigo,Skin infections,5,5
Influenza,Pneumonia,6,10
Insomnia,Chronic fatigue,5,5
Irritable Bowel Syndrome (IBS),Severe bloating,4,5
Jaundice,Liver disease,5,5
Kidney Stones,Urinary tract infections,7,10
Legionnaires' Disease,Respiratory failure,6,10
Leptospirosis,Organ failure,5,5
Leukemia,Weakened immune system,9,9
Lice Infestation,Skin infections,5,5
Liver Cirrhosis,Liver failure,10,9
Loiasis,Blindness,6,10
Lung Cancer,Metastasis,9,10
Lupus,Organ damage,5,5
Lyme Disease,Neurological disorders,5,5
Lymphoma,Immune suppression,5,6
MERS,Acute respiratory failure,6,10
Macular Degeneration,Vision loss,7,10
Malaria,Organ failure,5,5
Marburg Virus,Multi-organ failure,7,10
Measles,Encephalitis,8,10
Melanoma,Skin metastasis,5,5
Metabolic Syndrome,Cardiovascular disease,8,10
Migraine,Chronic headaches,7,5
Multiple Sclerosis,Paralysis,7,5
Mumps,Infertility,5,5
Myasthenia Gravis,Respiratory failure,5,5
Mycoplasma Pneumonia,Chronic lung damage,7,10
Narcolepsy,Accidents due to sudden sleep attacks,5,5
Nipah Virus,Brain inflammation,8,10
Norovirus,Severe dehydration,7,10
Obesity,Diabetes,5,5
Onchocerciasis,River blindness,7,10
Osteoarthristis,Joint deformity,7,10
Osteoporosis,Bone fractures,5,5
Otitis Media,Hearing loss,8,10
Ovarian Cancer,Metastasis,5,5
Pancreatic Cancer,Rapid metastasis,7,10
Paralysis (brain hemorrhage),Permanent disability,9,10
Parkinson's Disease,Dementia,7,10
Pelvic Inflammatory Disease,Infertility,7,10
Peptic ulcer disease,Gastrointestinal bleeding,7,10
Peripheral Neuropathy,Loss of sensation,6,5
Plague,Septicemia,9,10
Pneumonia,Respiratory failure,9,5
Polycystic Ovary Syndrome,Diabetes,5,6
Pontiac Fever,Persistent fatigue,5,6
Prostate Cancer,Metastasis,5,6
Psittacosis,Severe pneumonia,5,6
Psoriasis,Severe skin infections,6,5
Q Fever,Endocarditis,5,5
Rabies,Neurological failure,10,9
Raynaud Disease,Tissue necrosis,5,6
Relapsing Fever,Organ failure,5,4
Restless Legs Syndrome,Sleep disorders,5,5
Retinopathy,Blindness,5,6
Rheumatoid Arthritis,Severe joint deformity,5,6
Rocky Mountain Spotted Fever,Organ failure,5,5
Rotavirus,Severe dehydration,5,7
Roundworm Infection,Intestinal obstruction,5,7
Rubella,Birth defects (if pregnant),5,6
SARS,Pulmonary fibrosis,5,7
Salmonella Infection,Septicemia,5,6
Sarcoidosis,Lung fibrosis,5,5
Scabies,Severe skin infections,5,6
Schistosomiasis,Liver fibrosis,5,7
Shigellosis,Hemolytic uremic syndrome,5,8
Sickle Cell Disease,Stroke,5,9
Sinusitis,Chronic sinus infections,6,7
Sleep Apnea,Heart disease,10,6
Stroke,Paralysis,9,10
Syphilis,Brain damage,5,8
Tapeworm Infection,Neurological complications,5,9
Tetanus,Severe muscle spasms,9,10
Thalassemia,Severe anemia,5,7
Tinnitus,Hearing loss,5,8
Toxoplasmosis,Brain inflammation,5,8
Trichinosis,Muscle damage,6,6
Tuberculosis,Lung scarring,9,10
Tularemia,Severe lung infection,5,10
Typhoid,Intestinal perforation,6,6
Ulcerative Colitis,Colon cancer,5,7
Urinary tract infection,Kidney infection,5,8
Varicose veins,Blood clots,5,9
Vertigo,Falls and injuries,5,7
Whooping Cough,Respiratory failure,5,6
Wilson Disease,Liver failure,5,7
Yellow Fever,Liver failure,5,8
Yersiniosis,Reactive arthritis,5,7
Zika Virus,Birth defects,8,8
