Disease,Symptoms
AIDS,"extra marital contacts, high fever, muscle wasting, patches in throat, weight loss"
AIDS,"extra marital contacts, patches in throat, weight loss, muscle wasting, high fever"
AIDS,"extra marital contacts, patches in throat, muscle wasting, high fever, weight loss"
AIDS,"weight loss, patches in throat, extra marital contacts, high fever, muscle wasting"
AIDS,"patches in throat, high fever, weight loss, extra marital contacts, muscle wasting"
AIDS,"weight loss, high fever, muscle wasting, patches in throat, extra marital contacts"
AIDS,"muscle wasting, extra marital contacts, patches in throat, high fever, weight loss"
AIDS,"muscle wasting, weight loss, high fever, extra marital contacts, patches in throat"
AIDS,"muscle wasting, weight loss, patches in throat, extra marital contacts, high fever"
AIDS,"weight loss, extra marital contacts, patches in throat, muscle wasting, high fever"
ALS (Amyotrophic Lateral Sclerosis),"muscle weakness, difficulty speaking, twitching, difficulty swallowing, headache"
ALS (Amyotrophic Lateral Sclerosis),"twitching, difficulty swallowing, difficulty speaking, muscle weakness, headache"
ALS (Amyotrophic Lateral Sclerosis),"difficulty speaking, difficulty swallowing, twitching, muscle weakness, headache"
ALS (Amyotrophic Lateral Sclerosis),"twitching, difficulty speaking, headache, muscle weakness, difficulty swallowing"
ALS (Amyotrophic Lateral Sclerosis),"difficulty swallowing, twitching, headache, muscle weakness, difficulty speaking"
ALS (Amyotrophic Lateral Sclerosis),"difficulty swallowing, difficulty speaking, muscle weakness, headache, twitching"
ALS (Amyotrophic Lateral Sclerosis),"headache, twitching, difficulty swallowing, muscle weakness, difficulty speaking"
ALS (Amyotrophic Lateral Sclerosis),"muscle weakness, headache, difficulty speaking, difficulty swallowing, twitching"
ALS (Amyotrophic Lateral Sclerosis),"difficulty swallowing, twitching, difficulty speaking, muscle weakness, headache"
ALS (Amyotrophic Lateral Sclerosis),"difficulty speaking, headache, muscle weakness, difficulty swallowing, twitching"
Acne,"pus filled pimples, blackheads, skin rash, scurring, red spots on skin"
Acne,"pus filled pimples, skin rash, scurring, blackheads, red spots on skin"
Acne,"pus filled pimples, red spots on skin, blackheads, skin rash, scurring"
Acne,"skin rash, blackheads, pus filled pimples, scurring, red spots on skin"
Acne,"scurring, pus filled pimples, skin rash, red spots on skin, blackheads"
Acne,"scurring, red spots on skin, blackheads, skin rash, pus filled pimples"
Acne,"red spots on skin, skin rash, pus filled pimples, scurring, blackheads"
Acne,"blackheads, pus filled pimples, red spots on skin, skin rash, scurring"
Acne,"scurring, blackheads, red spots on skin, skin rash, pus filled pimples"
Acne,"blackheads, scurring, skin rash, pus filled pimples, red spots on skin"
Acute Bronchitis,"hoarseness, tightness in chest, persistent cough, chest discomfort, runny nose"
Acute Bronchitis,"chest discomfort, hoarseness, runny nose, persistent cough, tightness in chest"
Acute Bronchitis,"hoarseness, tightness in chest, chest discomfort, persistent cough, runny nose"
Acute Bronchitis,"hoarseness, persistent cough, tightness in chest, runny nose, chest discomfort"
Acute Bronchitis,"hoarseness, runny nose, tightness in chest, chest discomfort, persistent cough"
Acute Bronchitis,"persistent cough, runny nose, hoarseness, chest discomfort, tightness in chest"
Acute Bronchitis,"runny nose, chest discomfort, persistent cough, hoarseness, tightness in chest"
Acute Bronchitis,"chest discomfort, hoarseness, tightness in chest, persistent cough, runny nose"
Acute Bronchitis,"persistent cough, hoarseness, chest discomfort, tightness in chest, runny nose"
Acute Bronchitis,"hoarseness, persistent cough, chest discomfort, runny nose, tightness in chest"
Addison's Disease,"depression, darkened skin, dehydration, muscle weakness, jaundice"
Addison's Disease,"depression, muscle weakness, dehydration, darkened skin, jaundice"
Addison's Disease,"muscle weakness, dehydration, depression, jaundice, darkened skin"
Addison's Disease,"jaundice, darkened skin, dehydration, depression, muscle weakness"
Addison's Disease,"depression, darkened skin, muscle weakness, jaundice, dehydration"
Addison's Disease,"jaundice, darkened skin, muscle weakness, dehydration, depression"
Addison's Disease,"muscle weakness, darkened skin, dehydration, depression, jaundice"
Addison's Disease,"darkened skin, depression, jaundice, muscle weakness, dehydration"
Addison's Disease,"dehydration, jaundice, muscle weakness, darkened skin, depression"
Addison's Disease,"darkened skin, depression, dehydration, muscle weakness, jaundice"
Alcoholic hepatitis,"vomiting, yellowish skin, abdominal pain, distention of abdomen, swelling of stomach"
Alcoholic hepatitis,"vomiting, distention of abdomen, yellowish skin, abdominal pain, swelling of stomach"
Alcoholic hepatitis,"vomiting, swelling of stomach, yellowish skin, distention of abdomen, abdominal pain"
Alcoholic hepatitis,"distention of abdomen, vomiting, yellowish skin, swelling of stomach, abdominal pain"
Alcoholic hepatitis,"abdominal pain, yellowish skin, swelling of stomach, distention of abdomen, vomiting"
Alcoholic hepatitis,"swelling of stomach, distention of abdomen, yellowish skin, vomiting, abdominal pain"
Alcoholic hepatitis,"yellowish skin, abdominal pain, vomiting, swelling of stomach, distention of abdomen"
Alcoholic hepatitis,"vomiting, swelling of stomach, abdominal pain, yellowish skin, distention of abdomen"
Alcoholic hepatitis,"distention of abdomen, abdominal pain, swelling of stomach, vomiting, yellowish skin"
Alcoholic hepatitis,"distention of abdomen, abdominal pain, vomiting, swelling of stomach, yellowish skin"
Allergy,"shivering, watering from eyes, chills, continuous sneezing, runny nose"
Allergy,"runny nose, chills, continuous sneezing, shivering, watering from eyes"
Allergy,"runny nose, shivering, watering from eyes, chills, continuous sneezing"
Allergy,"runny nose, watering from eyes, shivering, chills, continuous sneezing"
Allergy,"chills, runny nose, watering from eyes, continuous sneezing, shivering"
Allergy,"watering from eyes, runny nose, chills, continuous sneezing, shivering"
Allergy,"chills, shivering, watering from eyes, continuous sneezing, runny nose"
Allergy,"chills, watering from eyes, continuous sneezing, runny nose, shivering"
Allergy,"watering from eyes, shivering, chills, continuous sneezing, runny nose"
Allergy,"watering from eyes, shivering, continuous sneezing, chills, runny nose"
Alzheimer's Disease,"uncontrollable leg movement, fever, night sweats, weight loss, fatigue"
Alzheimer's Disease,"night sweats, uncontrollable leg movement, fatigue, weight loss, fever"
Alzheimer's Disease,"night sweats, fatigue, uncontrollable leg movement, fever, weight loss"
Alzheimer's Disease,"fatigue, night sweats, uncontrollable leg movement, fever, weight loss"
