Disease,Description
AIDS,"AIDS is Acquired Immunodeficiency Syndrome, the advanced stage of HIV infection, leading to immune system failure."
ALS (Amyotrophic Lateral Sclerosis),ALS (Amyotrophic Lateral Sclerosis) is a  condition affecting nerve cells leading to muscle weakness and paralysis
Acne,"Acne is a skin condition caused by clogged hair follicles, leading to pimples, blackheads, and inflammation."
Achalasia,"Achalasia is a rare disorder in which the esophagus loses its ability to move food into the stomach, causing swallowing difficulties."
Acute Bronchitis,"Acute Bronchitis is an inflammation of the bronchial tubes, leading to coughing and mucus production."
Addison's Disease,Addison's Disease is a rare disorder where the adrenal glands do not produce enough hormones.
Alcoholic hepatitis,Alcoholic Hepatitis is liver inflammation caused by excessive alcohol consumption.
Allergy,Allergy is an immune system reaction to a foreign substance.
Alzheimer's Disease,Alzheimer's Disease is a progressive neurodegenerative disorder causing memory loss and cognitive decline.
Amebiasis,Amebiasis is an intestinal illness caused by the parasite Entamoeba histolytica.
Amyotrophic Lateral Sclerosis (ALS),Amyotrophic Lateral Sclerosis (ALS) is a neurodegenerative disease affecting nerve cells in the brain and spinal cord.
Anemia,Anemia is a condition where the blood lacks enough healthy red blood cells or hemoglobin.
Aneurysm,Aneurysm is a  weakened blood vessel that may rupture leading to internal bleeding
Anthrax,Anthrax is a  bacterial infection that can be fatal affecting the skin lungs or digestive system
Aplastic Anemia,Aplastic Anemia is a condition where the bone marrow fails to produce sufficient blood cells.
Appendicitis,"Appendicitis is inflammation of the appendix, causing severe abdominal pain."
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness."
Aspergillosis,"Aspergillosis is an infection caused by Aspergillus fungi, affecting the respiratory system."
Asthma,Asthma is a  chronic lung condition causing airway narrowing wheezing and shortness of breath
Arrhythmia,"Arrhythmia is a condition in which the heart beats irregularlyâ€”too fast, too slow, or with an abnormal rhythm."
Avian Influenza ,Avian Influenza (Bird Flu) is a  highly contagious viral infection that spreads from birds to humans leading to severe respiratory illness
Babesiosis,Babesiosis is a  tick-borne parasitic infection that attacks red blood cells leading to fever chills and anemia
Bacterial Meningitis,Bacterial Meningitis is an infection of the protective membranes covering the brain and spinal cord.
Bartonellosis,"Bartonellosis is a bacterial infection caused by Bartonella species, often transmitted through insect bites."
Barrett Esophagus,"Barrett’s Esophagus is a condition where the lining of the esophagus changes due to chronic acid reflux, increasing the risk of esophageal cancer."
Bell's Palsy,"Bell's Palsy is sudden, temporary weakness or paralysis of the facial muscles."
Benign Paroxysmal Positional Vertigo (BPPV),"Benign Paroxysmal Positional Vertigo (BPPV) is a disorder of the inner ear causing brief episodes of dizziness. It occurs when calcium crystals in the inner ear become dislodged, affecting balance."
Bipolar Disorder,Bipolar Disorder is a mental health condition causing extreme mood swings.
Bladder Cancer,Bladder Cancer is a  type of cancer affecting the bladders lining
Blastomycosis,"Blastomycosis is a fungal infection caused by inhaling Blastomyces spores, affecting the lungs and skin."
Brain Tumor,Brain Tumor is an  abnormal growth in the brain that can be benign or malignant
