Disease,Symptom1,Symptom2,Symptom3,Symptom4,Symptom5
AIDS,extra marital contacts,high fever,muscle wasting,patches in throat,weight loss
AIDS,weight loss,patches in throat,muscle wasting,high fever,extra marital contacts
AIDS,weight loss,patches in throat,muscle wasting,extra marital contacts,high fever
AIDS,muscle wasting,patches in throat,extra marital contacts,weight loss,high fever
AIDS,patches in throat,muscle wasting,high fever,extra marital contacts,weight loss
AIDS,high fever,extra marital contacts,patches in throat,weight loss,muscle wasting
AIDS,patches in throat,muscle wasting,high fever,weight loss,extra marital contacts
AIDS,patches in throat,weight loss,extra marital contacts,high fever,muscle wasting
AIDS,weight loss,patches in throat,extra marital contacts,muscle wasting,high fever
AIDS,weight loss,extra marital contacts,patches in throat,muscle wasting,high fever
ALS (Amyotrophic Lateral Sclerosis),muscle weakness,difficulty speaking,twitching,difficulty swallowing,headache
ALS (Amyotrophic Lateral Sclerosis),loss of grip strength,impaired reflexes,stiff muscles,muscle weakness,clumsiness
ALS (Amyotrophic Lateral Sclerosis),clumsiness,loss of grip strength,impaired reflexes,stiff muscles,muscle weakness
ALS (Amyotrophic Lateral Sclerosis),difficulty swallowing,headache,muscle weakness,twitching,difficulty speaking
ALS (Amyotrophic Lateral Sclerosis),stiff muscles,clumsiness,loss of grip strength,muscle weakness,impaired reflexes
ALS (Amyotrophic Lateral Sclerosis),difficulty swallowing,difficulty speaking,twitching,headache,muscle weakness
ALS (Amyotrophic Lateral Sclerosis),muscle weakness,clumsiness,loss of grip strength,impaired reflexes,stiff muscles
ALS (Amyotrophic Lateral Sclerosis),clumsiness,stiff muscles,muscle weakness,impaired reflexes,loss of grip strength
ALS (Amyotrophic Lateral Sclerosis),clumsiness,loss of grip strength,muscle weakness,stiff muscles,impaired reflexes
ALS (Amyotrophic Lateral Sclerosis),loss of grip strength,muscle weakness,impaired reflexes,stiff muscles,clumsiness
Acne,pus filled pimples,blackheads,skin rash,scurring,red spots on skin
Acne,red spots on skin,pus filled pimples,blackheads,skin rash,scurring
Acne,blackheads,scurring,pus filled pimples,skin rash,red spots on skin
Acne,skin rash,red spots on skin,blackheads,scurring,pus filled pimples
Acne,red spots on skin,scurring,pus filled pimples,skin rash,blackheads
Acne,red spots on skin,skin rash,scurring,pus filled pimples,blackheads
Acne,blackheads,pus filled pimples,red spots on skin,scurring,skin rash
